unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1651870800,2022-05-06 21:00:00,BTC/USDT,35951.02,35951.02,35924.94,35924.94,0.00575652,206.80263560880002
1651867200,2022-05-06 20:00:00,BTC/USDT,35984.65,35984.65,35984.65,35984.65,0.00000000,0.0
1651863600,2022-05-06 19:00:00,BTC/USDT,36022.36,36022.36,35984.65,35984.65,1.31912488,47468.247113092
1651860000,2022-05-06 18:00:00,BTC/USDT,35895.93,35995.21,35895.93,35984.81,0.30462485,10961.8673485285
1651856400,2022-05-06 17:00:00,BTC/USDT,36215.18,36215.18,35896.03,35896.03,0.29378289,10545.6394329267
1651852800,2022-05-06 16:00:00,BTC/USDT,36048.28,36048.28,36048.28,36048.28,0.00000000,0.0
1651849200,2022-05-06 15:00:00,BTC/USDT,36203.18,36279.26,35961.34,36048.28,0.13191282,4755.2302709496
1651845600,2022-05-06 14:00:00,BTC/USDT,35845.65,36127.04,35674.21,36085.07,4.39582893,158623.79464707512
1651842000,2022-05-06 13:00:00,BTC/USDT,35818.20,35878.34,35293.00,35549.77,0.86057891,30593.382317350697
1651838400,2022-05-06 12:00:00,BTC/USDT,35807.94,36216.78,35807.94,35912.87,0.27307224,9806.8078557288
1651834800,2022-05-06 11:00:00,BTC/USDT,35896.28,35945.12,35680.00,35873.82,0.23625926,8475.5221665732
1651831200,2022-05-06 10:00:00,BTC/USDT,36204.40,36233.92,35915.00,35915.00,3.08611083,110837.67045945
1651827600,2022-05-06 09:00:00,BTC/USDT,36235.15,36368.22,36186.33,36343.64,0.15784917,5736.8134087788
1651824000,2022-05-06 08:00:00,BTC/USDT,36178.90,36395.01,36178.90,36279.80,0.26051637,9451.481800326
1651820400,2022-05-06 07:00:00,BTC/USDT,36349.72,36364.42,35900.00,36087.44,3.29801695,119016.98880210801
1651816800,2022-05-06 06:00:00,BTC/USDT,36455.88,36455.88,36455.88,36455.88,0.00000000,0.0
1651813200,2022-05-06 05:00:00,BTC/USDT,36416.00,36456.62,36416.00,36455.88,0.07109533,2591.8428190403997
1651809600,2022-05-06 04:00:00,BTC/USDT,36336.25,36378.36,36259.51,36378.36,1.20717711,43915.1234913396
1651806000,2022-05-06 03:00:00,BTC/USDT,36405.09,36405.09,36374.59,36380.62,0.04106444,1493.9497871528001
1651802400,2022-05-06 02:00:00,BTC/USDT,36369.81,36514.84,36369.81,36514.84,0.14961862,5463.2999703208
1651798800,2022-05-06 01:00:00,BTC/USDT,36205.00,36273.48,36199.11,36224.09,1.01436901,36744.5943114509
1651795200,2022-05-06 00:00:00,BTC/USDT,36565.19,36565.19,36565.19,36565.19,0.01366686,499.7313326034
1651791600,2022-05-05 23:00:00,BTC/USDT,36346.14,36596.50,36346.14,36590.32,0.61444910,22482.889192712
1651788000,2022-05-05 22:00:00,BTC/USDT,36444.81,36444.81,36424.99,36424.99,0.09449633,3442.0278752867
1651784400,2022-05-05 21:00:00,BTC/USDT,36390.38,36582.48,36385.61,36533.21,0.21897255,7999.7701533855
1651780800,2022-05-05 20:00:00,BTC/USDT,36238.98,36390.38,36238.98,36390.38,0.61442199,22359.049696456197
